"gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000119771",-3.48574746546057,4.10166340211964,717.415278433441,4.88318477211675e-158,7.53963728814826e-154
"ENSG00000148053",-5.03728408744473,7.86365640441856,689.933483373253,4.62122258816647e-152,3.56758383806451e-148
"ENSG00000177098",-3.41277434075184,4.89589850763365,672.176197069887,3.36006866998291e-148,1.7293153421512e-144
"ENSG00000184500",-2.44515512299594,5.80879487120821,605.215161775448,1.22876251323863e-133,4.7430233011011e-130
"ENSG00000154065",-3.51488459805053,3.7678048042966,588.957909891873,4.2225856921518e-130,1.30393446173647e-126
"ENSG00000138685",-4.26688707762202,4.87697715104799,586.771834918424,1.26206986296993e-129,3.24772644737595e-126
"ENSG00000166265",-2.42393399249478,5.48378840064098,567.062407990338,2.44525846154125e-125,5.39354152088527e-122
"ENSG00000182253",-4.57901265771403,8.07463506526788,553.56280471989,2.11319629395804e-122,4.07846884733903e-119
"ENSG00000187824",-2.81815740216527,3.07813762242728,551.429965879399,6.15056725379387e-122,1.05516398220641e-118
"ENSG00000126785",-2.00812030434694,4.89052321094165,551.216934051352,6.84318135440151e-122,1.05658720111959e-118
"ENSG00000145777",-4.68750055545092,1.34827142496361,543.11714720943,3.95646464107716e-120,5.5534376416574e-117
"ENSG00000182463",-3.09302005791998,5.82161847880175,536.135929865702,1.30634641286883e-118,1.62266531774981e-115
"ENSG00000158966",-2.89363860633543,5.3388103857745,536.046448912159,1.36623375199142e-118,1.62266531774981e-115
"ENSG00000149090",-4.0398881192213,5.41092986153821,528.151883917726,7.1288227113815e-117,7.86207304740931e-114
"ENSG00000249669",-4.04921829219225,5.66969205453872,517.324542432966,1.61668709715819e-114,1.66410991867483e-111
"ENSG00000152583",-2.20765969200588,9.1986791818806,511.421415100118,3.11140306167328e-113,3.00250395451471e-110
"ENSG00000144642",-2.60948295811787,5.20818096085854,508.557265084723,1.30651179624975e-112,1.18662012553507e-109
"ENSG00000198932",-2.77776373035688,4.26527061225467,502.012935611019,3.46735156132768e-111,2.97421711704997e-108
"ENSG00000154678",-4.33890273885603,4.25950876407389,498.503538939075,2.01173598016851e-110,1.63480018598957e-107
"ENSG00000144857",-2.50604364210605,5.73525809720305,492.541566106508,3.98840427861421e-109,3.07904810309017e-106
"ENSG00000119147",-5.90703930806825,4.40312336219767,491.594051580302,6.41159069598722e-109,4.71404573076394e-106
"ENSG00000184271",-1.8492038978682,3.76959518797215,490.02443968589,1.40764881831515e-108,9.87913534308452e-106
"ENSG00000136158",-2.77291594223075,5.39085187863121,489.777186315253,1.59328643567773e-108,1.06958011160279e-105
"ENSG00000013297",-3.55584590499302,4.634142369802,489.663535052714,1.68664276363156e-108,1.08507351126964e-105
"ENSG00000240583",-2.61397055662518,8.23922457504138,486.022743493034,1.04526150886279e-107,6.45553507873658e-105
"ENSG00000168497",-4.78015440694623,5.96016375259637,476.084585841132,1.51962435809422e-105,9.02423080345181e-103
"ENSG00000241684",-4.31070005439318,1.98017135932716,472.831600128468,7.75524855369999e-105,4.4155338748398e-102
"ENSG00000155970",-3.03309882726583,2.33890759763548,472.76773091346,8.00744485074575e-105,4.4155338748398e-102
"ENSG00000149451",-3.7434576513906,4.23324534142741,472.377029053941,9.73895956985029e-105,5.18515640546512e-102
"ENSG00000100307",-2.22448377897094,5.64878896910624,459.149977674289,7.35988743414117e-102,3.78788873277132e-99
"ENSG00000054598",-2.6620787286248,4.53591392779752,451.328131745644,3.70747559440953e-100,1.84656203798978e-97
"ENSG00000226329",-3.36225839873764,0.60141289542413,449.009536930627,1.1848633676836e-99,5.71696574907336e-97
"ENSG00000154263",-4.43045531712033,3.54424891212648,445.530859907901,6.77227848427507e-99,3.16860544840021e-96
"ENSG00000143867",-4.72941080717087,4.38679196998677,442.846725534469,2.59952211133684e-98,1.18048886467767e-95
"ENSG00000165795",-3.20989541329748,7.97833939106941,442.485425573563,3.11548200596313e-98,1.37437263348773e-95
"ENSG00000255248",-2.1625730936764,4.82909357211769,441.752732833517,4.49765052811419e-98,1.92899233761342e-95
"ENSG00000114698",-2.55955174640818,5.64927468797826,439.752787174327,1.22531934507881e-97,5.05373544500501e-95
"ENSG00000228649",-3.20917766301295,2.0655221336123,439.722923413184,1.24379499294165e-97,5.05373544500501e-95
"ENSG00000105974",-3.47894926795735,8.55509880911927,439.318533961217,1.52320988508791e-97,6.03034887839933e-95
"ENSG00000136014",-3.11852343281238,0.673112420229516,437.601778312372,3.60076593231349e-97,1.38989564987301e-94
"ENSG00000154721",-2.27050277341802,5.36620918912037,436.1490172558,7.45721677176936e-97,2.8082787062468e-94
"ENSG00000119121",-3.47886530632111,1.12087882939657,435.539729742967,1.01200825068668e-96,3.72033509300056e-94
"ENSG00000141741",3.62085704450489,7.06563816810522,435.32374069369,1.12769772078196e-96,4.04922158345895e-94
"ENSG00000133392",-4.29037030397422,8.45241417364243,434.807030740595,1.46100454987418e-96,5.12679778410394e-94
"ENSG00000198838",-2.94925228390655,2.7604387887946,434.742629492802,1.50892669005183e-96,5.17729513208896e-94
"ENSG00000248994",-3.91423152628424,2.23201245571732,429.522118889134,2.06489968513714e-95,6.9308806822864e-93
"ENSG00000066382",-3.11843861956253,2.66508036190838,428.74521060267,3.04785122252761e-95,1.0012515505495e-92
"ENSG00000165197",-5.85291671920075,4.08993480831882,427.893509439878,4.67055100877072e-95,1.50236057448791e-92
"ENSG00000204065",-5.09749988272528,0.964521802343464,426.982886784973,7.37170235915333e-95,2.32283845765974e-92
"ENSG00000185950",-2.73854659826846,5.95283864844519,424.516440502037,2.5374759416087e-94,7.83572570768768e-92
"ENSG00000069702",-3.75140294834735,7.32422929143987,422.247358307243,7.91198078842119e-94,2.39531339947496e-91
"ENSG00000186642",-3.29948963231879,5.11204626449211,420.499106290006,1.90024689606515e-93,5.6422715529319e-91
"ENSG00000154134",-2.40350133445438,3.24610461694439,418.311519169939,5.68808172957279e-93,1.65705626235102e-90
"ENSG00000154330",-3.42465482686947,4.61525993161271,416.617144623053,1.32975538052874e-92,3.80211538432662e-90
"ENSG00000171357",-2.15651794330867,0.205187210744805,416.056313018188,1.7613510161084e-92,4.94459267067521e-90
"ENSG00000008311",-2.33764456191773,4.53298348036529,414.419536506141,4.00054621423692e-92,1.10300774192532e-89
"ENSG00000234456",-2.34698040674449,4.87098571475174,414.380276506115,4.0800451280975e-92,1.1051911715408e-89
"ENSG00000153291",-3.35938890411332,3.09084901372531,412.95451155921,8.33701813085824e-92,2.21937172311123e-89
"ENSG00000261616",-3.96927244842299,1.81526125133374,410.799962939492,2.45468344682367e-91,6.42378176592499e-89
"ENSG00000184384",-2.43582787878689,5.92141068345347,410.72615710824,2.54718832715185e-91,6.55476462853741e-89
"ENSG00000183722",-2.14777839016082,6.53254880789351,409.910100879425,3.83438048216693e-91,9.70538272863237e-89
"ENSG00000159433",-2.49085491993113,4.51598746519761,409.496935859485,4.71661877267441e-91,1.1745902233886e-88
"ENSG00000108799",-1.83982516038463,5.86730793250675,409.397211313329,4.95836300061954e-91,1.21519245602485e-88
"ENSG00000226237",-2.79724052245264,1.75653274421651,409.319276278185,5.15588043780531e-91,1.24385615562053e-88
"ENSG00000182916",-2.70503412651874,2.39579719686286,408.694216283855,7.05282553050459e-91,1.67531732601524e-88
"ENSG00000120162",-2.27610730526053,4.55916089778631,406.098225060316,2.59091080097832e-90,6.06116102531898e-88
