Gene,Essential CEG,Essential OEG
ENSG00000107581,Essential,Essential
ENSG00000068654,Essential,NA
ENSG00000088325,Essential,NA
ENSG00000148835,NA,Essential
ENSG00000165732,Essential,Non-essential
ENSG00000085840,Essential,Non-essential
ENSG00000096401,Essential,Essential
ENSG00000176619,NA,Essential
ENSG00000109111,Essential,Essential
ENSG00000067596,Essential,NA
ENSG00000139613,Non-essential,Essential
ENSG00000125885,NA,Non-essential
ENSG00000124789,NA,Essential
ENSG00000063244,Essential,Essential
ENSG00000099817,NA,Non-essential
ENSG00000139842,Non-essential,Essential
ENSG00000005007,Essential,Essential
ENSG00000115163,Essential,Non-essential
ENSG00000168393,Essential,Essential
ENSG00000100387,Essential,NA
ENSG00000110619,Essential,Non-essential
ENSG00000130749,Essential,Essential
ENSG00000112118,Essential,NA
ENSG00000151461,Essential,Essential
ENSG00000076924,Essential,NA
ENSG00000175467,Essential,Essential
ENSG00000065268,NA,Non-essential
ENSG00000205609,Essential,Non-essential
ENSG00000165733,Essential,Non-essential
ENSG00000172062,NA,Non-essential
ENSG00000188976,NA,Non-essential
ENSG00000049541,Essential,NA
ENSG00000100028,Essential,Essential
ENSG00000182521,Non-essential,Non-essential
ENSG00000163781,NA,Essential
ENSG00000130764,Non-essential,NA
ENSG00000175792,Essential,Essential
ENSG00000101868,Essential,Essential
ENSG00000125977,Essential,Non-essential
ENSG00000106263,NA,Essential
ENSG00000104852,NA,Non-essential
ENSG00000130119,Essential,NA
ENSG00000087269,NA,Non-essential
ENSG00000115946,NA,Non-essential
ENSG00000123064,Essential,Non-essential
ENSG00000182117,Essential,NA
ENSG00000089154,NA,Non-essential
ENSG00000135801,NA,Essential
ENSG00000153187,Essential,Essential
ENSG00000188342,NA,Non-essential
ENSG00000076003,Essential,NA
ENSG00000148606,Essential,Essential
ENSG00000126226,Essential,NA
ENSG00000166477,NA,Essential
ENSG00000108312,NA,Essential
ENSG00000114030,Non-essential,NA
ENSG00000167088,Essential,NA
ENSG00000196419,Essential,Essential
ENSG00000119707,Essential,Essential
ENSG00000105373,NA,Non-essential
ENSG00000105618,Essential,Essential
ENSG00000113569,Essential,NA
ENSG00000105202,Essential,Essential
ENSG00000150990,NA,Essential
ENSG00000204219,Non-essential,Non-essential
ENSG00000141543,Essential,Essential
ENSG00000085872,NA,Essential
ENSG00000093000,NA,Essential
ENSG00000102753,Non-essential,Non-essential
ENSG00000124228,NA,Non-essential
ENSG00000145833,Essential,Essential
ENSG00000132382,Essential,NA
ENSG00000137815,NA,Essential
ENSG00000132646,Essential,NA
ENSG00000083520,Essential,Non-essential
ENSG00000071894,NA,Essential
ENSG00000100201,Non-essential,Non-essential
ENSG00000164902,NA,Non-essential
ENSG00000167658,Essential,Essential
ENSG00000100297,Essential,NA
ENSG00000130177,Essential,NA
ENSG00000107290,Non-essential,Essential
ENSG00000171824,Essential,Essential
ENSG00000090861,Essential,Non-essential
ENSG00000075914,Essential,Non-essential
ENSG00000073111,Essential,NA
ENSG00000111707,NA,Non-essential
ENSG00000101191,NA,Essential
ENSG00000100479,Essential,Non-essential
ENSG00000145041,NA,Non-essential
ENSG00000121152,Essential,Non-essential
ENSG00000100603,NA,Essential
ENSG00000079785,NA,Essential
ENSG00000013573,NA,Non-essential
ENSG00000145907,NA,Non-essential
ENSG00000178105,Essential,NA
ENSG00000261236,NA,Non-essential
ENSG00000100902,Essential,Essential
ENSG00000188986,Essential,Non-essential
ENSG00000105968,Non-essential,Non-essential
ENSG00000136709,Essential,Essential
ENSG00000144231,Essential,Non-essential
ENSG00000111142,NA,Essential
ENSG00000008128,NA,Non-essential
ENSG00000160208,Non-essential,Non-essential
ENSG00000100138,NA,Non-essential
ENSG00000125485,Non-essential,Non-essential
ENSG00000099917,NA,Essential
ENSG00000102038,Non-essential,Essential
ENSG00000161547,Essential,Non-essential
ENSG00000162775,Non-essential,Essential
ENSG00000130826,Essential,NA
ENSG00000118513,NA,Non-essential
ENSG00000132740,Non-essential,NA
ENSG00000174748,Essential,NA
ENSG00000137804,NA,Non-essential
ENSG00000117748,Essential,NA
ENSG00000108344,Essential,Essential
ENSG00000109606,Essential,Essential
ENSG00000008988,NA,Non-essential
ENSG00000148843,Essential,NA
ENSG00000126261,NA,Essential
ENSG00000129351,NA,Essential
ENSG00000125107,Essential,Essential
ENSG00000155561,NA,Essential
ENSG00000077235,Essential,Essential
ENSG00000138107,NA,Non-essential
ENSG00000152795,Non-essential,Non-essential
ENSG00000138757,NA,Essential
ENSG00000168066,Essential,Essential
ENSG00000052749,NA,Essential
ENSG00000185697,Non-essential,NA
ENSG00000107937,Essential,NA
ENSG00000184110,NA,Non-essential
ENSG00000084774,Essential,Essential
ENSG00000135372,Essential,NA
ENSG00000183684,Essential,Non-essential
ENSG00000167325,Essential,Essential
ENSG00000167513,Essential,Non-essential
ENSG00000138376,NA,Non-essential
ENSG00000099783,NA,Essential
ENSG00000177084,Essential,Essential
ENSG00000160633,NA,Essential
ENSG00000163938,NA,Non-essential
ENSG00000134371,Essential,Essential
ENSG00000160214,NA,Non-essential
ENSG00000011007,NA,Non-essential
ENSG00000183431,NA,Essential
ENSG00000185467,Non-essential,Non-essential
ENSG00000105323,Non-essential,Essential
ENSG00000082898,Essential,Essential
ENSG00000239306,NA,Essential
ENSG00000130589,Non-essential,Non-essential
ENSG00000047315,Essential,NA
ENSG00000174231,Essential,Essential
ENSG00000111875,Non-essential,Non-essential
ENSG00000108883,Essential,Essential
ENSG00000033800,NA,Essential
ENSG00000105486,Essential,Non-essential
ENSG00000168439,NA,Essential
ENSG00000087365,Essential,Essential
ENSG00000186834,NA,Essential
ENSG00000153922,NA,Essential
ENSG00000175334,Essential,Non-essential
ENSG00000132383,Essential,NA
ENSG00000055044,Essential,NA
ENSG00000115524,NA,Essential
ENSG00000136875,Essential,Essential
ENSG00000101182,Essential,NA
ENSG00000146909,NA,Non-essential
ENSG00000163655,Essential,NA
ENSG00000160075,Essential,Non-essential
ENSG00000166986,Essential,Non-essential
ENSG00000160201,Essential,NA
ENSG00000125482,NA,Non-essential
ENSG00000062822,NA,Essential
ENSG00000167258,NA,Essential
ENSG00000128908,Essential,Essential
ENSG00000185163,Essential,Non-essential
ENSG00000101003,Essential,Non-essential
ENSG00000125835,NA,Non-essential
ENSG00000108055,Essential,Essential
ENSG00000102978,Essential,Non-essential
ENSG00000070444,NA,Essential
ENSG00000183495,NA,Essential
ENSG00000112941,Non-essential,Non-essential
ENSG00000163468,Essential,Essential
ENSG00000116560,Essential,Non-essential
ENSG00000144028,Essential,Essential
ENSG00000154727,NA,Non-essential
ENSG00000105325,NA,Essential
ENSG00000013441,NA,Non-essential
ENSG00000121892,NA,Essential
ENSG00000100296,Essential,Non-essential
ENSG00000169139,NA,Non-essential
ENSG00000065150,NA,Essential
ENSG00000008018,Essential,NA
ENSG00000135097,Non-essential,Essential
ENSG00000111786,Non-essential,NA
ENSG00000115053,NA,Essential
ENSG00000275700,Essential,Non-essential
ENSG00000196235,Essential,Essential
ENSG00000167770,NA,Essential
ENSG00000101161,Essential,NA
ENSG00000153165,Non-essential,Non-essential
ENSG00000083845,Essential,NA
ENSG00000138071,NA,Essential
ENSG00000102974,NA,Essential
ENSG00000109519,Essential,Essential
ENSG00000147133,Essential,Essential
ENSG00000117222,Essential,Essential
ENSG00000197265,NA,Non-essential
ENSG00000134480,Essential,Non-essential
ENSG00000106682,Non-essential,Non-essential
ENSG00000171848,Essential,Essential
ENSG00000104824,Essential,Essential
ENSG00000124193,Non-essential,Essential
ENSG00000138346,NA,Non-essential
ENSG00000135387,Non-essential,Essential
ENSG00000117360,NA,Essential
ENSG00000067533,NA,Non-essential
ENSG00000100029,Essential,Non-essential
ENSG00000114391,Essential,NA
ENSG00000138442,Essential,Non-essential
ENSG00000140403,Non-essential,Non-essential
ENSG00000065427,Essential,Non-essential
ENSG00000031698,Essential,Non-essential
ENSG00000198301,Essential,Non-essential
ENSG00000136518,Essential,Essential
ENSG00000064313,NA,Non-essential
ENSG00000164548,NA,Non-essential
ENSG00000106244,NA,Non-essential
ENSG00000181222,Essential,Essential
ENSG00000179041,NA,Non-essential
ENSG00000112081,Essential,NA
ENSG00000080603,Essential,Essential
ENSG00000092853,Essential,Non-essential
ENSG00000185787,NA,Non-essential
ENSG00000100425,NA,Essential
ENSG00000126883,Essential,Essential
ENSG00000184900,Non-essential,Non-essential
ENSG00000100142,Essential,Non-essential
ENSG00000138668,NA,Essential
ENSG00000142230,Essential,NA
ENSG00000100888,NA,Essential
ENSG00000112312,NA,Non-essential
ENSG00000108424,Essential,Essential
ENSG00000072501,Essential,Essential
ENSG00000132603,Essential,NA
ENSG00000100410,Essential,NA
ENSG00000136271,Essential,NA
ENSG00000136450,Essential,NA
ENSG00000124571,NA,Essential
ENSG00000130382,Non-essential,Essential
ENSG00000005100,NA,Non-essential
ENSG00000164346,Essential,Non-essential
ENSG00000063046,NA,Essential
ENSG00000147403,Essential,Non-essential
ENSG00000119048,Non-essential,Non-essential
ENSG00000119285,Essential,Essential
ENSG00000171763,Essential,NA
ENSG00000134899,NA,Non-essential
ENSG00000153037,NA,Non-essential
ENSG00000116030,Non-essential,NA
ENSG00000117395,Essential,Non-essential
ENSG00000132153,Essential,Essential
ENSG00000169813,NA,Essential
ENSG00000005075,NA,Non-essential
ENSG00000143748,Essential,NA
ENSG00000204560,Essential,Non-essential
ENSG00000129559,Essential,NA
ENSG00000070495,NA,Essential
ENSG00000156531,Non-essential,NA
ENSG00000162231,NA,Essential
ENSG00000243725,NA,Non-essential
ENSG00000083642,Non-essential,Essential
ENSG00000100401,Essential,Non-essential
ENSG00000131778,Non-essential,Non-essential
ENSG00000151657,Essential,Non-essential
ENSG00000070785,Essential,NA
ENSG00000124207,Essential,Essential
ENSG00000070061,Essential,Non-essential
ENSG00000167670,Essential,Essential
ENSG00000153201,NA,Essential
ENSG00000086189,Essential,Non-essential
ENSG00000133706,Essential,Non-essential
ENSG00000115484,Essential,Essential
ENSG00000161057,Essential,NA
ENSG00000100567,Essential,NA
ENSG00000173473,NA,Essential
ENSG00000041802,NA,Non-essential
ENSG00000151247,NA,Non-essential
ENSG00000197857,Non-essential,Non-essential
ENSG00000197102,Essential,Essential
ENSG00000137947,Essential,Non-essential
ENSG00000125755,NA,Essential
ENSG00000163918,Essential,NA
ENSG00000123975,Non-essential,Non-essential
ENSG00000233822,Non-essential,Non-essential
ENSG00000112282,Essential,NA
ENSG00000066044,Non-essential,NA
ENSG00000101811,NA,Non-essential
ENSG00000105447,Essential,Non-essential
ENSG00000128708,Non-essential,Non-essential
ENSG00000025800,NA,Essential
ENSG00000146143,NA,Non-essential
ENSG00000113643,Essential,Non-essential
ENSG00000104529,Non-essential,NA
ENSG00000223496,NA,Non-essential
ENSG00000107854,Non-essential,NA
ENSG00000105229,Non-essential,Essential
ENSG00000270647,NA,Essential
ENSG00000164916,Non-essential,Essential
ENSG00000066422,Essential,NA
ENSG00000080345,NA,Essential
ENSG00000111602,Essential,Non-essential
ENSG00000100084,NA,Essential
ENSG00000130640,Essential,NA
ENSG00000136451,Non-essential,Essential
ENSG00000179051,NA,Non-essential
ENSG00000196305,Essential,Non-essential
ENSG00000160294,Essential,Essential
ENSG00000092199,Essential,NA
ENSG00000170889,Essential,Non-essential
ENSG00000258366,NA,Essential
ENSG00000188529,NA,Non-essential
ENSG00000090273,Essential,NA
ENSG00000099956,Essential,NA
ENSG00000187627,Non-essential,Non-essential
ENSG00000147669,Non-essential,Non-essential
ENSG00000104472,Non-essential,NA
ENSG00000030066,Essential,Essential
ENSG00000165416,NA,Non-essential
ENSG00000106305,Non-essential,Non-essential
ENSG00000100353,Essential,Essential
ENSG00000171843,Non-essential,Essential
ENSG00000087087,Essential,Essential
ENSG00000089685,Essential,Non-essential
ENSG00000105372,Essential,NA
ENSG00000113240,NA,Non-essential
ENSG00000176890,Essential,NA
ENSG00000058804,NA,Non-essential
ENSG00000168724,Non-essential,Non-essential
ENSG00000113407,Essential,Non-essential
ENSG00000138160,Essential,Essential
ENSG00000182481,NA,Non-essential
ENSG00000137413,NA,Non-essential
ENSG00000116350,Non-essential,NA
ENSG00000089009,Essential,NA
ENSG00000149503,NA,Non-essential
ENSG00000108654,Non-essential,Essential
ENSG00000170860,Essential,Non-essential
ENSG00000100664,Essential,Essential
ENSG00000103194,NA,Non-essential
ENSG00000196862,Non-essential,Non-essential
ENSG00000101146,Essential,NA
ENSG00000112739,NA,Essential
ENSG00000154473,Essential,Non-essential
ENSG00000029363,NA,Non-essential
ENSG00000215301,NA,Essential
ENSG00000142937,Essential,NA
ENSG00000189403,NA,Essential
ENSG00000101266,NA,Essential
ENSG00000115816,Essential,Non-essential
ENSG00000113460,Essential,Essential
ENSG00000169045,NA,Essential
ENSG00000135829,Essential,Essential
ENSG00000113810,Essential,NA
ENSG00000137497,NA,Essential
ENSG00000163041,Non-essential,Non-essential
ENSG00000053372,NA,Essential
ENSG00000127511,Non-essential,Essential
ENSG00000134815,Non-essential,Essential
ENSG00000196911,Non-essential,NA
ENSG00000028839,Non-essential,NA
ENSG00000205571,NA,Non-essential
ENSG00000136628,Essential,Non-essential
ENSG00000055130,NA,Essential
ENSG00000068784,Essential,Non-essential
ENSG00000135363,NA,Non-essential
ENSG00000007968,Non-essential,Essential
ENSG00000117399,Essential,Non-essential
ENSG00000119969,Non-essential,NA
ENSG00000175931,Non-essential,Essential
ENSG00000101972,NA,Non-essential
ENSG00000116001,Non-essential,Non-essential
ENSG00000113368,Non-essential,NA
ENSG00000196199,Non-essential,Non-essential
ENSG00000182446,NA,Essential
ENSG00000089053,Essential,NA
ENSG00000100519,Essential,NA
ENSG00000198042,NA,Essential
ENSG00000140829,Essential,Essential
ENSG00000089280,NA,Essential
ENSG00000056097,NA,Essential
ENSG00000115268,Essential,NA
ENSG00000064703,Essential,Non-essential
ENSG00000089737,Essential,Non-essential
ENSG00000162601,Non-essential,Non-essential
ENSG00000126067,Essential,NA
ENSG00000115233,Essential,Non-essential
ENSG00000101412,Non-essential,NA
ENSG00000104517,NA,Essential
ENSG00000188739,Non-essential,NA
ENSG00000141499,Non-essential,NA
ENSG00000159217,Non-essential,NA
ENSG00000185024,NA,Essential
ENSG00000155438,NA,Non-essential
ENSG00000136930,Essential,NA
ENSG00000124635,Non-essential,Non-essential
ENSG00000172809,Essential,NA
ENSG00000009954,Non-essential,Essential
ENSG00000011304,NA,Essential
ENSG00000141101,Essential,Non-essential
ENSG00000090061,NA,Essential
ENSG00000070814,NA,Non-essential
ENSG00000175305,NA,Non-essential
ENSG00000121481,Non-essential,NA
ENSG00000123908,NA,Non-essential
ENSG00000174444,Essential,NA
