Gene,Essential CEG
SPBC646.10c,Essential
SPAC29A4.08c,Essential
SPAC4G9.08c,Essential
SPBC83.08,Essential
SPAC1B1.03c,Essential
SPBC4C3.05c,Essential
SPAPB8E5.09,Essential
SPAC1F5.10,Non-essential
SPAC1420.02c,Essential
SPBC215.12,Essential
SPBC337.05c,Essential
SPBC16H5.10c,Essential
SPAC22F8.10c,Essential
SPAC3G9.09c,Essential
SPAC1D4.04,Essential
SPBC651.08c,Essential
SPBC2D10.10c,Non-essential
SPAC30D11.03,Essential
SPBC1A4.08c,Essential
SPAC16C9.03,Essential
SPAC823.08c,Essential
SPCC1494.06c,Essential
SPAC23G3.06,Essential
SPBC19C2.01,Essential
SPBP23A10.07,Essential
SPBC106.16,Non-essential
SPBC106.06,Essential
SPCC10H11.01,Essential
SPBC19F5.05c,Essential
SPBC428.19c,Essential
SPBC543.06c,Essential
SPAC3H5.07,Non-essential
SPCP31B10.07,Non-essential
SPBC25D12.03c,Essential
SPAC2C4.03c,Essential
SPBC13G1.09,Essential
SPAP27G11.13c,Essential
SPBC24C6.02,Essential
SPBC651.01c,Essential
SPAC1B3.12c,Essential
SPAC1834.01,Essential
SPBC12D12.03,Essential
SPCC1840.03,Non-essential
SPAC17G6.16c,Essential
SPBC23E6.04c,Essential
SPBC31E1.06,Essential
SPBC21H7.04,Non-essential
SPAC664.06,Essential
SPAC18G6.07c,Essential
SPBC14C8.12,Essential
SPAC23C4.15,Essential
SPAC23C4.19,Essential
SPBP8B7.20c,Essential
SPCC285.03,Essential
SPAC23D3.02,Essential
SPBC16E9.10c,Essential
SPAC1687.01,Essential
SPAC6F12.17,Essential
SPBC26H8.08c,Non-essential
SPBC1711.17,Essential
SPBC609.05,Non-essential
SPAC2C4.11c,Essential
SPCC1183.07,Essential
SPBC29A3.04,Essential
SPBC646.16,Essential
SPAC9G1.03c,Non-essential
SPCC63.11,Essential
SPAC1687.03c,Essential
SPAC20H4.09,Non-essential
SPBC16G5.14c,Essential
SPAC16C9.06c,Non-essential
SPCC1919.09,Non-essential
SPBC1711.06,Non-essential
SPBC16H5.03c,Non-essential
SPBC36.09,Essential
SPBC1703.05,Essential
