Gene,Essential CEG,Essential OEG
ENSMUSG00000024590,Non-essential,Essential
ENSMUSG00000002052,Essential,NA
ENSMUSG00000062075,Non-essential,Essential
ENSMUSG00000018583,Non-essential,NA
ENSMUSG00000028760,Non-essential,Non-essential
ENSMUSG00000024974,Essential,Essential
ENSMUSG00000022905,Non-essential,NA
ENSMUSG00000016619,Essential,NA
ENSMUSG00000026187,Non-essential,NA
ENSMUSG00000034021,Essential,Essential
ENSMUSG00000001150,Non-essential,Essential
ENSMUSG00000026349,Essential,NA
ENSMUSG00000002718,Essential,Essential
ENSMUSG00000008976,NA,Essential
ENSMUSG00000018697,Essential,NA
ENSMUSG00000034218,Non-essential,Essential
ENSMUSG00000038644,Essential,NA
ENSMUSG00000058301,Non-essential,Essential
ENSMUSG00000031715,NA,Essential
ENSMUSG00000066306,Essential,Essential
ENSMUSG00000035842,Non-essential,Essential
ENSMUSG00000004099,Non-essential,Essential
ENSMUSG00000040549,Essential,Essential
ENSMUSG00000027184,Non-essential,Essential
ENSMUSG00000028063,Non-essential,Essential
ENSMUSG00000037608,Non-essential,Essential
ENSMUSG00000063870,NA,Essential
ENSMUSG00000020361,Non-essential,NA
ENSMUSG00000002455,Essential,NA
ENSMUSG00000039994,Essential,Essential
ENSMUSG00000042489,Essential,Essential
ENSMUSG00000040565,Non-essential,Non-essential
ENSMUSG00000045983,Non-essential,Non-essential
ENSMUSG00000041859,Non-essential,NA
ENSMUSG00000029599,Essential,Essential
ENSMUSG00000002870,Essential,NA
ENSMUSG00000020923,Essential,Essential
ENSMUSG00000040383,Essential,Non-essential
ENSMUSG00000030079,Essential,NA
ENSMUSG00000027722,Essential,Essential
ENSMUSG00000032187,Non-essential,Essential
ENSMUSG00000030738,Essential,Non-essential
ENSMUSG00000019841,NA,Essential
ENSMUSG00000026355,Essential,NA
ENSMUSG00000000568,Non-essential,Non-essential
ENSMUSG00000017861,NA,Essential
ENSMUSG00000022718,Essential,Essential
ENSMUSG00000031311,Non-essential,Non-essential
ENSMUSG00000020358,Non-essential,NA
ENSMUSG00000027185,Essential,NA
ENSMUSG00000034274,NA,Essential
ENSMUSG00000061410,NA,Non-essential
ENSMUSG00000052997,Essential,Essential
ENSMUSG00000020900,Non-essential,Essential
ENSMUSG00000022897,Non-essential,Essential
ENSMUSG00000032050,Non-essential,NA
ENSMUSG00000009555,Essential,Essential
ENSMUSG00000048661,Non-essential,NA
ENSMUSG00000034023,Essential,NA
ENSMUSG00000078676,Non-essential,Essential
ENSMUSG00000038116,Non-essential,NA
ENSMUSG00000022471,Essential,Non-essential
ENSMUSG00000018707,Essential,Essential
ENSMUSG00000036112,Essential,Essential
ENSMUSG00000055491,Essential,Essential
ENSMUSG00000005045,Non-essential,NA
ENSMUSG00000039117,Non-essential,Essential
ENSMUSG00000022565,Non-essential,Essential
ENSMUSG00000043535,Non-essential,NA
ENSMUSG00000008730,Non-essential,Non-essential
ENSMUSG00000029191,Essential,Essential
ENSMUSG00000018983,Non-essential,NA
ENSMUSG00000043909,Non-essential,NA
ENSMUSG00000041147,Non-essential,Essential
ENSMUSG00000006585,Essential,Non-essential
ENSMUSG00000006715,Essential,Essential
ENSMUSG00000006005,Non-essential,Essential
ENSMUSG00000069769,Non-essential,NA
ENSMUSG00000054823,Non-essential,NA
ENSMUSG00000027951,Non-essential,Essential
ENSMUSG00000029635,Non-essential,Essential
ENSMUSG00000006678,Essential,Non-essential
ENSMUSG00000022521,Essential,Essential
ENSMUSG00000028431,Non-essential,Essential
ENSMUSG00000039234,Non-essential,Essential
ENSMUSG00000024949,Essential,NA
ENSMUSG00000018379,Essential,Essential
ENSMUSG00000049550,Non-essential,Non-essential
ENSMUSG00000058006,Essential,NA
ENSMUSG00000028452,Essential,Essential
ENSMUSG00000007670,Non-essential,Non-essential
ENSMUSG00000022556,Non-essential,NA
ENSMUSG00000034154,Non-essential,Essential
ENSMUSG00000031826,Non-essential,Essential
ENSMUSG00000053110,Non-essential,Essential
ENSMUSG00000070544,Essential,Essential
ENSMUSG00000030795,NA,Essential
ENSMUSG00000039509,Non-essential,Essential
ENSMUSG00000032217,Non-essential,NA
ENSMUSG00000009535,Essential,Essential
ENSMUSG00000027639,Non-essential,Non-essential
ENSMUSG00000000751,Essential,Essential
ENSMUSG00000032777,NA,Essential
ENSMUSG00000039068,Non-essential,NA
ENSMUSG00000027067,Essential,Essential
ENSMUSG00000019984,Non-essential,Essential
ENSMUSG00000028312,Essential,NA
ENSMUSG00000024493,Essential,Essential
ENSMUSG00000005732,NA,Essential
ENSMUSG00000022710,Essential,Essential
ENSMUSG00000002835,Non-essential,Essential
ENSMUSG00000034120,Essential,Essential
ENSMUSG00000025081,Non-essential,NA
ENSMUSG00000032253,Non-essential,Essential
ENSMUSG00000022673,Essential,Essential
ENSMUSG00000023015,Essential,NA
ENSMUSG00000069565,Non-essential,NA
ENSMUSG00000038784,Essential,Essential
ENSMUSG00000019979,Non-essential,Essential
ENSMUSG00000022314,Essential,NA
ENSMUSG00000032558,Non-essential,NA
ENSMUSG00000006281,Non-essential,Non-essential
ENSMUSG00000026219,Non-essential,NA
ENSMUSG00000074698,Non-essential,Essential
ENSMUSG00000018160,Non-essential,Essential
ENSMUSG00000035297,Essential,Non-essential
ENSMUSG00000052144,NA,Essential
ENSMUSG00000025225,Essential,NA
ENSMUSG00000024527,Non-essential,NA
ENSMUSG00000066551,Non-essential,Essential
ENSMUSG00000028614,Non-essential,NA
ENSMUSG00000037487,Non-essential,NA
ENSMUSG00000074582,Non-essential,NA
ENSMUSG00000040463,Essential,Essential
ENSMUSG00000069089,Essential,NA
ENSMUSG00000011257,Non-essential,Non-essential
ENSMUSG00000027651,NA,Non-essential
ENSMUSG00000054717,NA,Non-essential
ENSMUSG00000037286,Non-essential,Essential
ENSMUSG00000018363,Non-essential,NA
ENSMUSG00000033952,Non-essential,Non-essential
ENSMUSG00000025001,Non-essential,Essential
ENSMUSG00000021147,Non-essential,Non-essential
ENSMUSG00000000787,Non-essential,NA
ENSMUSG00000042308,Non-essential,NA
ENSMUSG00000031706,Non-essential,NA
ENSMUSG00000005102,Non-essential,NA
ENSMUSG00000042323,Non-essential,Essential
ENSMUSG00000009733,NA,Non-essential
ENSMUSG00000038685,Essential,Essential
ENSMUSG00000024170,Essential,Essential
ENSMUSG00000028053,Non-essential,Essential
ENSMUSG00000043991,Non-essential,NA
ENSMUSG00000003868,Essential,NA
ENSMUSG00000036698,Non-essential,Essential
ENSMUSG00000023050,NA,Essential
ENSMUSG00000005198,Essential,NA
ENSMUSG00000039205,Non-essential,Non-essential
ENSMUSG00000024613,Non-essential,Essential
ENSMUSG00000021288,Non-essential,Non-essential
ENSMUSG00000029521,Non-essential,Non-essential
ENSMUSG00000020235,Non-essential,Essential
ENSMUSG00000029504,Essential,Essential
ENSMUSG00000020661,Non-essential,NA
ENSMUSG00000005609,Essential,Essential
ENSMUSG00000017774,Non-essential,Non-essential
ENSMUSG00000079487,Non-essential,Essential
ENSMUSG00000013787,NA,Essential
ENSMUSG00000032280,Non-essential,NA
ENSMUSG00000015365,Non-essential,NA
ENSMUSG00000024576,Essential,NA
ENSMUSG00000027109,Non-essential,NA
ENSMUSG00000031068,NA,Essential
ENSMUSG00000031099,Non-essential,Non-essential
ENSMUSG00000033335,Essential,Essential
ENSMUSG00000041164,Non-essential,Essential
ENSMUSG00000022024,Non-essential,Essential
