Gene,Essential CEG,Essential OEG
FBgn0001330,Non-essential,NA
FBgn0052344,Essential,NA
FBgn0016983,Non-essential,NA
FBgn0027602,Non-essential,NA
FBgn0033160,Essential,NA
FBgn0021995,Non-essential,NA
FBgn0036733,Non-essential,NA
FBgn0036686,Essential,NA
FBgn0019938,Essential,NA
FBgn0260012,Essential,NA
FBgn0032444,Essential,NA
FBgn0031493,Essential,NA
FBgn0014861,Non-essential,NA
FBgn0034496,Essential,NA
FBgn0003483,Non-essential,NA
FBgn0023175,Essential,NA
FBgn0015925,Non-essential,NA
FBgn0004856,Essential,NA
FBgn0022942,Essential,NA
FBgn0030855,Non-essential,NA
FBgn0038597,Non-essential,NA
FBgn0027330,Essential,NA
FBgn0037926,Essential,NA
FBgn0037489,Essential,NA
FBgn0031078,Non-essential,NA
FBgn0001986,Essential,NA
FBgn0001942,Essential,NA
FBgn0030504,Non-essential,NA
FBgn0028982,Essential,NA
FBgn0003559,Essential,NA
FBgn0036124,Non-essential,Essential
FBgn0035162,Non-essential,NA
FBgn0027079,Non-essential,NA
FBgn0030246,Non-essential,NA
FBgn0027868,Non-essential,NA
FBgn0030833,Non-essential,Non-essential
FBgn0003346,Essential,NA
FBgn0024698,Essential,NA
FBgn0039680,Essential,NA
FBgn0027537,Non-essential,NA
FBgn0036487,Non-essential,NA
FBgn0015391,Non-essential,NA
FBgn0010278,Essential,NA
FBgn0030687,Non-essential,NA
FBgn0037561,Non-essential,NA
FBgn0030365,Non-essential,NA
FBgn0027948,Essential,NA
FBgn0032450,Non-essential,NA
FBgn0027081,Essential,NA
FBgn0024364,Non-essential,NA
FBgn0037632,Non-essential,Essential
FBgn0010621,Essential,NA
FBgn0023527,Essential,NA
FBgn0020255,Essential,NA
FBgn0003278,Non-essential,NA
FBgn0030871,Essential,NA
FBgn0028744,Non-essential,NA
FBgn0003261,Essential,NA
FBgn0003676,Essential,NA
FBgn0000377,Non-essential,NA
FBgn0027094,Essential,NA
FBgn0030086,Essential,NA
FBgn0027086,Essential,NA
FBgn0039566,Essential,NA
FBgn0261065,Non-essential,NA
FBgn0031390,Non-essential,NA
FBgn0032919,Essential,NA
FBgn0022023,Essential,NA
FBgn0010292,Essential,NA
FBgn0003277,Non-essential,NA
FBgn0261395,Non-essential,Non-essential
FBgn0014366,Essential,NA
FBgn0011836,Essential,NA
FBgn0033688,Non-essential,NA
FBgn0053505,Non-essential,NA
FBgn0003978,Non-essential,NA
FBgn0050349,Essential,NA
FBgn0000559,Essential,NA
FBgn0022213,Non-essential,NA
FBgn0034734,Non-essential,NA
FBgn0030067,Essential,NA
FBgn0039559,Non-essential,NA
FBgn0015019,Essential,NA
FBgn0038146,Essential,NA
FBgn0020633,Non-essential,NA
FBgn0033766,Essential,NA
FBgn0260962,Non-essential,NA
FBgn0087013,Essential,NA
FBgn0026876,Non-essential,NA
FBgn0031051,Essential,NA
FBgn0025815,Essential,NA
FBgn0029798,Essential,NA
FBgn0027090,Essential,NA
FBgn0259937,Non-essential,NA
FBgn0052343,Non-essential,NA
FBgn0031657,Non-essential,NA
FBgn0036828,Non-essential,NA
FBgn0015929,Non-essential,NA
FBgn0039867,Non-essential,NA
FBgn0039182,Essential,NA
FBgn0010926,Non-essential,NA
FBgn0261119,Essential,NA
FBgn0021874,Non-essential,NA
FBgn0039183,Non-essential,NA
FBgn0050382,Non-essential,NA
FBgn0037834,Non-essential,NA
FBgn0005655,Non-essential,NA
FBgn0039004,Non-essential,NA
FBgn0028684,Essential,NA
FBgn0005411,Essential,NA
FBgn0051390,Non-essential,NA
FBgn0001341,Essential,NA
FBgn0027553,Non-essential,NA
FBgn0036500,Non-essential,NA
FBgn0027329,Essential,NA
FBgn0025716,Essential,NA
FBgn0040075,Essential,NA
FBgn0260771,Essential,NA
FBgn0020261,Non-essential,NA
FBgn0035720,Non-essential,NA
FBgn0016978,Essential,NA
FBgn0027841,Essential,NA
FBgn0032863,Essential,NA
FBgn0046222,Essential,NA
FBgn0026679,Essential,NA
FBgn0014127,Non-essential,NA
FBgn0003279,Essential,NA
FBgn0033571,Essential,NA
FBgn0029979,Non-essential,NA
FBgn0032157,Non-essential,Non-essential
FBgn0030241,Essential,NA
FBgn0030177,Non-essential,NA
FBgn0035524,Non-essential,NA
FBgn0052533,Non-essential,NA
FBgn0004463,Non-essential,NA
FBgn0038499,Non-essential,NA
FBgn0040078,Non-essential,NA
FBgn0010356,Non-essential,NA
FBgn0037894,Non-essential,NA
FBgn0032051,Essential,NA
FBgn0052409,Non-essential,NA
FBgn0030956,Non-essential,NA
FBgn0025808,Non-essential,NA
FBgn0039691,Essential,NA
FBgn0004419,Essential,NA
FBgn0030081,Essential,NA
FBgn0022069,Non-essential,NA
FBgn0033260,Essential,NA
FBgn0038269,Essential,NA
FBgn0020443,Non-essential,NA
FBgn0028426,Essential,NA
FBgn0022772,Essential,NA
FBgn0005593,Essential,NA
FBgn0039117,Non-essential,NA
FBgn0038887,Non-essential,NA
FBgn0035110,Non-essential,NA
FBgn0032883,Non-essential,NA
FBgn0034829,Non-essential,NA
FBgn0021761,Essential,NA
FBgn0029148,Non-essential,NA
FBgn0259676,Essential,NA
FBgn0037707,Non-essential,NA
FBgn0010774,Non-essential,NA
FBgn0023395,Non-essential,NA
FBgn0034939,Non-essential,NA
FBgn0038827,Non-essential,NA
FBgn0010220,Essential,NA
FBgn0064225,Non-essential,NA
FBgn0025781,Non-essential,NA
FBgn0026702,Essential,NA
FBgn0019890,Non-essential,NA
FBgn0034310,Essential,NA
FBgn0027084,Non-essential,NA
FBgn0004556,Non-essential,NA
FBgn0015818,Essential,NA
FBgn0035918,Essential,NA
FBgn0034401,Essential,NA
FBgn0033557,Non-essential,NA
FBgn0042178,Non-essential,NA
FBgn0027334,Non-essential,NA
