Gene,Essential OEG
WBGene00011605,Essential
WBGene00001049,Non-essential
WBGene00002957,Essential
WBGene00018866,Non-essential
WBGene00003389,Essential
WBGene00017435,Non-essential
WBGene00009922,Non-essential
WBGene00010844,Essential
WBGene00003393,Essential
WBGene00000773,Essential
WBGene00015941,Non-essential
WBGene00000143,Essential
WBGene00003367,Essential
WBGene00000482,Non-essential
WBGene00002169,Essential
WBGene00018156,Essential
WBGene00008119,Non-essential
WBGene00000123,Essential
WBGene00001166,Essential
WBGene00004411,Essential
WBGene00016653,Non-essential
WBGene00015581,Non-essential
WBGene00012059,Essential
WBGene00003789,Essential
WBGene00005015,Essential
WBGene00004806,Essential
WBGene00007972,Essential
WBGene00004355,Non-essential
WBGene00022742,Non-essential
WBGene00004916,Essential
WBGene00006382,Essential
WBGene00012342,Non-essential
WBGene00017313,Essential
WBGene00004188,Essential
WBGene00014218,Non-essential
WBGene00003159,Essential
WBGene00017162,Essential
WBGene00020263,Non-essential
WBGene00003157,Essential
WBGene00000839,Non-essential
WBGene00015203,Non-essential
WBGene00001423,Essential
WBGene00011253,Non-essential
WBGene00010056,Non-essential
WBGene00017300,Essential
WBGene00001227,Essential
WBGene00012714,Essential
WBGene00007761,Non-essential
WBGene00002850,Non-essential
WBGene00009211,Non-essential
WBGene00002152,Essential
WBGene00001865,Non-essential
WBGene00008645,Essential
WBGene00017546,Essential
WBGene00015525,Essential
WBGene00004387,Essential
WBGene00010369,Non-essential
WBGene00001352,Non-essential
WBGene00013143,Non-essential
WBGene00016837,Essential
WBGene00000271,Non-essential
WBGene00016323,Essential
WBGene00008338,Essential
WBGene00008502,Non-essential
WBGene00006700,Non-essential
WBGene00004506,Essential
WBGene00001087,Essential
WBGene00002845,Essential
WBGene00000276,Essential
WBGene00004180,Essential
WBGene00004738,Essential
WBGene00003392,Essential
WBGene00013209,Non-essential
WBGene00000382,Non-essential
WBGene00002074,Essential
WBGene00019711,Non-essential
WBGene00006698,Essential
WBGene00006542,Essential
WBGene00015347,Non-essential
WBGene00017280,Essential
WBGene00017768,Non-essential
WBGene00001086,Non-essential
WBGene00011111,Essential
WBGene00012966,Non-essential
WBGene00007784,Essential
WBGene00001470,Non-essential
WBGene00022741,Non-essential
WBGene00000274,Non-essential
WBGene00010785,Essential
WBGene00001209,Essential
WBGene00000774,Essential
WBGene00009650,Essential
WBGene00003210,Essential
WBGene00001836,Non-essential
WBGene00007400,Essential
WBGene00009266,Non-essential
