"ID","uniprot_id","max_hit","num_hits"
"A0A024RBG1-F1","A0A024RBG1",0.933519047619048,1
"A0A075B6H5-F1","A0A075B6H5",0.876995238095238,1
"A0A075B6H7-F1","A0A075B6H7",0.759607692307692,1
"A0A075B6H8-F1","A0A075B6H8",0.41335625,0
"A0A075B6H9-F1","A0A075B6H9",0.537990476190476,0
"A0A075B6I0-F1","A0A075B6I0",0.370594117647059,0
"A0A075B6I1-F1","A0A075B6I1",0.947421052631579,1
"A0A075B6I3-F1","A0A075B6I3",0.470152380952381,0
"A0A075B6I4-F1","A0A075B6I4",0.377257142857143,0
"A0A075B6I6-F1","A0A075B6I6",0.140033333333333,0
"A0A075B6I7-F1","A0A075B6I7",0.250228888888889,0
"A0A075B6I9-F1","A0A075B6I9",0.479657142857143,0
"A0A075B6J1-F1","A0A075B6J1",0.213319047619048,0
"A0A075B6J2-F1","A0A075B6J2",0.825518181818182,1
"A0A075B6J6-F1","A0A075B6J6",0.367172727272727,0
"A0A075B6J9-F1","A0A075B6J9",0.690309523809524,0
"A0A075B6K0-F1","A0A075B6K0",0.114857857142857,0
"A0A075B6K2-F1","A0A075B6K2",0.233572727272727,0
"A0A075B6K4-F1","A0A075B6K4",0.815347619047619,1
"A0A075B6K5-F1","A0A075B6K5",0.716190909090909,1
"A0A075B6K6-F1","A0A075B6K6",0.5776,0
"A0A075B6L2-F1","A0A075B6L2",0.177366666666667,0
"A0A075B6L6-F1","A0A075B6L6",0.653580952380952,0
"A0A075B6N1-F1","A0A075B6N1",0.152890909090909,0
"A0A075B6N2-F1","A0A075B6N2",0.986266666666667,1
"A0A075B6N3-F1","A0A075B6N3",0.591838095238095,0
"A0A075B6N4-F1","A0A075B6N4",0.674152380952381,0
"A0A075B6P5-F1","A0A075B6P5",0.905142857142857,1
"A0A075B6Q5-F1","A0A075B6Q5",0.231185714285714,0
"A0A075B6R0-F1","A0A075B6R0",0.887963636363636,1
"A0A075B6R2-F1","A0A075B6R2",0.667163636363636,0
"A0A075B6R9-F1","A0A075B6R9",0.722223809523809,8
"A0A075B6S2-F1","A0A075B6S2",0.53427619047619,0
