	Q96RS6	Q96K31	Q6KF10	Q8TAT2	Q9H0F6	Q99575	Q13630	Q9NX95	P34981
Q7Z429	A6NE52	Q658Y4	Q8TD08	O75064	Q6ZRV2	Q7Z388	Q8NDA8	O14841	NA
Q9UG22	Q8WWP7	Q6P582	Q8NHV1	P17017	Q9UJA9	Q3YBM2	Q96HP8	NA	NA
P49223	Q8IUB2	Q96MP5	Q8NEX5	Q8IUB3	Q5T9Z0	Q99969	NA	NA	NA
O00339	Q96GY0	Q03923	Q9NRX6	Q8TD23	P61925	Q8N2R0	NA	NA	NA
Q9BR26	Q9HC62	O00300	Q9H295	Q96HV5	Q6YI46		NA	NA	NA
Q8WVZ1	Q96HI0	Q86YC3	Q147U7	NA	NA	NA	NA	NA	NA
Q14210	Q6UXB3	Q9BXJ4	Q16553	NA	NA	NA	NA	NA	NA
Q6NUJ1	Q6PCB5	Q9H4Z3	Q5TGL8	NA	NA	NA	NA	NA	NA
Q6P1N9	B3EWG3	A6NIR3	NA	NA	NA	NA	NA	NA	NA
Q6BDI9	P23610	P23610	NA	NA	NA	NA	NA	NA	NA
Q8N9S9	Q96P47	B7Z1M9	NA	NA	NA	NA	NA	NA	NA
Q9H9H5	Q8WXA8	Q70Z44	NA	NA	NA	NA	NA	NA	NA
Q9Y2G3	Q86YR7	Q8WZ60	NA	NA	NA	NA	NA	NA	NA
Q9UDV6		Q6ZMS7	NA	NA	NA	NA	NA	NA	NA
Q4VNC1	A0AV02	Q6IF42	NA	NA	NA	NA	NA	NA	NA
A4D1S0	Q8IYS0	A2RRL7	NA	NA	NA	NA	NA	NA	NA
Q6ZWK4	Q8N2G6	Q5VUB5	NA	NA	NA	NA	NA	NA	NA
Q5T1B0	Q9H1P6	Q96LI9	NA	NA	NA	NA	NA	NA	NA
Q9HCY8	Q96FQ6	P33764	NA	NA	NA	NA	NA	NA	NA
Q8N8X9	Q8IYB1	Q8IVM0	NA	NA	NA	NA	NA	NA	NA
Q5TC84	Q5T292	A1XBS5	NA	NA	NA	NA	NA	NA	NA
Q5JX69	Q5JX71	Q96KR6	NA	NA	NA	NA	NA	NA	NA
Q96BN6	Q86X67	NA	NA	NA	NA	NA	NA	NA	NA
